Région administrative,Département,Commune,Identifiant Muséofile,Nom officiel du musée,id_musee,date de création,Adresse,Adresse_2,Code Postal,URL,Latitude,Longitude,REF_Deps,geolocalisation,Date arrêté attribution appellation,imageLink
Île-de-France,Val-de-Marne,Fresnes,M0426,écomusée de Fresnes,(wd:Q23639828 21),,41 rue Maurice Tenine,"41 rue Maurice Tenine, 94260",94260,www.fresnes94.fr/a-votre-service/culture-sports-et-loisirs/equipements-culturels/ecomusee-du-val-de-bievre/,48.75525,2.326389,9403401,"48.75525, 2.326389",2003-02-01,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
Île-de-France,Val-de-Marne,Maisons-Alfort,M5064,musée Fragonard de l'École vétérinaire de Maisons-Alfort,(wd:Q1631711 22),,7 avenue du Général de Gaulle,"7 avenue du Général de Gaulle, 94704",94704,www.vet-alfort.fr/domaine-d-alfort/musee-fragonard/infos-pratiques,48.81278282657873,2.4233629652344084,9404601,"48.81278282657873, 2.4233629652344084",2006-08-29,http://commons.wikimedia.org/wiki/Special:FilePath/ENVA%20-%20JPO2010%20-%20Le%20mus%C3%A9e%20Fragonard2.JPG
Île-de-France,Val-de-Marne,Nogent-sur-Marne,M0427,musée de Nogent-sur-Marne,(wd:Q3329734 23),,36 boulevard Gallieni,"36 boulevard Gallieni, 94130",94130,museenogentsurmarne.net/,48.84026,2.484292,9405201,"48.84026, 2.484292",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Patrimoine%20Nogent-sur-Marne%2005.jpg
Île-de-France,Val-de-Marne,Vitry-sur-Seine,M0431,musée d'Art contemporain du Val-de-Marne,(wd:Q3329594 24),,Place de la Libération,"Place de la Libération, 94400",94400,www.macval.fr/,48.792821,2.387072,9408101,"48.792821, 2.387072",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Vitry%20-%20Musee%20d%27art%20contemporain%2000.jpg
Île-de-France,Yvelines,Magny-les-Hameaux,M5045,musée national de Port-Royal des Champs,(wd:Q3330694 25),,Route des Granges,"Route des Granges, 78114",78114,www.port-royal-des-champs.eu/,48.748437,2.01579,7835601,"48.748437, 2.01579",2002-01-06,http://commons.wikimedia.org/wiki/Special:FilePath/Port-Royal-des-Champs%20-%20Petites%20Ecoles.JPG
Île-de-France,Yvelines,Mantes-la-Jolie,M0389,musée de l'Hôtel-Dieu,(wd:Q23600382 26),,1 rue Thiers,"1 rue Thiers, 78200",78200,www.manteslajolie.fr/MUSEE%20DE%20LHOTELDIEU,48.990874,1.719901,7836101,"48.990874, 1.719901",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Mantes-la-Jolie%20-%20H%C3%B4tel-Dieu01.jpg
Île-de-France,Yvelines,Marly-le-Roi-Louveciennes,M0390,musée du domaine royal de Marly,(wd:Q23600219 27),,1 Grille royale - Parc de Marly,"1 Grille royale - Parc de Marly, 78160",78160,www.musee-promenade.fr,48.859572,2.109482,7835001,"48.859572, 2.109482",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20du%20domaine%20de%20Marly%20-%20vue%20de%20l%27entr%C3%A9e.jpg
Île-de-France,Yvelines,Médan,M1186,maison d'Émile Zola,(wd:Q2588025 28),,26 Rue Pasteur,"26 Rue Pasteur, 78670",78670,www.maisonzola-museedreyfus.com/,48.952745,1.995035,7838401,"48.952745, 1.995035",2009-11-19,http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%A9dan%20-%20Maison%20d%27%C3%89mile%20Zola01.jpg
Île-de-France,Yvelines,Saint-Germain-en-Laye,M5001,musée d'Archéologie nationale,(wd:Q2342844 29),,Place Charles de Gaulle,"Place Charles de Gaulle, 78100",78100,musee-archeologienationale.fr/,48.897879,2.094936,7855103,"48.897879, 2.094936",2002-01-06,http://commons.wikimedia.org/wiki/Special:FilePath/Chateau%20de%20St%20Germain-en-laye.JPG
Île-de-France,Yvelines,Versailles,M0400,musée Lambinet,(wd:Q3329245 30),,54 boulevard de la Reine,"54 boulevard de la Reine, 78000",78000,www.versailles.fr/museelambinet/,48.808966,2.130624,7864601,"48.808966, 2.130624",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Versailles%20Mus%C3%A9e%20Lambinet.jpg
Île-de-France,Essonne,Etampes,M0405,musée municipal d'Étampes,(wd:Q3330653 31),,Hôtel de ville,"Hôtel de ville, 91150",91150,www.mairie-etampes.fr/le-musee/,48.434307,2.161909,9122301,"48.434307, 2.161909",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%B4tel%20ville%20%C3%89tampes%201.jpg
Île-de-France,Hauts-de-Seine,Boulogne-Billancourt,M0407,musée départemental Albert-Kahn,(wd:Q3330509 32),,14 rue du Port,"14 rue du Port, 92100",92100,albert-kahn.hauts-de-seine.fr/,48.841354,2.227488,9201203,"48.841354, 2.227488",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Azaleas%20at%20Albert%20Kahn%20Garden.jpg
