item,itemLabel,imageLink
http://www.wikidata.org/entity/Q3330509,musée départemental Albert-Kahn,http://commons.wikimedia.org/wiki/Special:FilePath/Azaleas%20at%20Albert%20Kahn%20Garden.jpg
http://www.wikidata.org/entity/Q3329026,musée-jardin Paul-Landowski,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q3329618,musée d'art et d'histoire de Meudon,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9eartethistoiremeudon.jpg
http://www.wikidata.org/entity/Q64549730,musée du Grand Siècle,http://commons.wikimedia.org/wiki/Special:FilePath/Caserne%20sully%20futur%20mus%C3%A9e.jpg
http://www.wikidata.org/entity/Q547789,maison de Balzac,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20de%20Balzac%2C%20Paris%2016e%205.jpg
http://www.wikidata.org/entity/Q1585909,musée du Général Leclerc de Hauteclocque et de la Libération de Paris - musée Jean-Moulin,http://commons.wikimedia.org/wiki/Special:FilePath/L%27entr%C3%A9e%20du%20mus%C3%A9e%20Jean%20Moulin%2C%20Paris.jpg
http://www.wikidata.org/entity/Q2915606,musée des Plans-reliefs,http://commons.wikimedia.org/wiki/Special:FilePath/Entr%C3%A9e%20Mus%C3%A9e%20des%20Plans-Reliefs%20%28Les%20Invalides%29.jpg
http://www.wikidata.org/entity/Q1094332,musée de l'Histoire de l'immigration,http://commons.wikimedia.org/wiki/Special:FilePath/L%27exposition%20permanente%20de%20la%20CNHI.jpg
http://www.wikidata.org/entity/Q2613771,musée Zadkine,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Zadkine.jpg
http://www.wikidata.org/entity/Q106448129,musée national de la Marine,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20Palais%20Chaillot%20Mus%C3%A9e%20national%20de%20la%20Marine%20Entrance.jpg
http://www.wikidata.org/entity/Q1955698,musée national Jean-Jacques-Henner,http://commons.wikimedia.org/wiki/Special:FilePath/Henner%20museum%20facade.jpg
http://www.wikidata.org/entity/Q1998638,musée de l'Assistance publique - Hôpitaux de Paris,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20de%20l%27Assistance%20Publique.JPG
http://www.wikidata.org/entity/Q1124095,musée de Cluny,http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%B4tel%20de%20Cluny%2C%20Paris%2024%20April%202012.jpg
http://www.wikidata.org/entity/Q838691,Muséum national d'histoire naturelle,http://commons.wikimedia.org/wiki/Special:FilePath/Grande%20galerie%20de%20l%27%C3%A9volution%2C%20Paris%2010%20April%202014.jpg
http://www.wikidata.org/entity/Q650519,musée Rodin,http://commons.wikimedia.org/wiki/Special:FilePath/L%27h%C3%B4tel%20Biron%20%28mus%C3%A9e%20Rodin%29%20%C3%A0%20Paris%2C%2013%20juin%202021%2001.jpg
http://www.wikidata.org/entity/Q30303348,musée Louis-Braille,http://commons.wikimedia.org/wiki/Special:FilePath/Braille%20house07.JPG
http://www.wikidata.org/entity/Q23599965,musée municipal de Crécy-la-Chapelle,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q23600488,musée municipal de Melun,http://commons.wikimedia.org/wiki/Special:FilePath/Melun%20musee.JPG
http://www.wikidata.org/entity/Q3330528,musée départemental de la Seine-et-Marne,http://commons.wikimedia.org/wiki/Special:FilePath/L3531%20-%20Saint-Cyr-sur-Morin%20-%20Mus%C3%A9e%20d%C3%A9partemental%20de%20la%20Seine-et-Marne.jpg
http://www.wikidata.org/entity/Q1189955,musée de l'Air et de l'Espace,http://commons.wikimedia.org/wiki/Special:FilePath/Caudron%20G4%20Mus%C3%A9e%20Air%20et%20Espace%20du%20Bourget.jpg
http://www.wikidata.org/entity/Q3329627,musée d'art et d'histoire de Saint-Denis,http://commons.wikimedia.org/wiki/Special:FilePath/Saint-Denis%20%2893%29%20Chapelle%20du%20Carmel.JPG
http://www.wikidata.org/entity/Q3330076,musée de la toile de Jouy,http://commons.wikimedia.org/wiki/Special:FilePath/Jouy-en-Josas%20Ch%C3%A2teau%20%C3%89glantine.jpg
http://www.wikidata.org/entity/Q23600423,musée Victor Aubert,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q3418414,Rambolitrain,http://commons.wikimedia.org/wiki/Special:FilePath/Rambolitrain-fa%C3%A7ade.JPG
http://www.wikidata.org/entity/Q3330506,musée départemental Maurice-Denis,http://commons.wikimedia.org/wiki/Special:FilePath/Ancien%20h%C3%B4pital%20Maintenon%2005961.jpg
http://www.wikidata.org/entity/Q3075615,Fondation de Coubertin,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20ch%C3%A2teau%20de%20Coubertin%20%28photo%20Montalbetti%29.JPG
http://www.wikidata.org/entity/Q3330577,musée français de la photographie,http://commons.wikimedia.org/wiki/Special:FilePath/Bi%C3%A8vres%20Mus%C3%A9e%20fran%C3%A7ais%20de%20la%20photographie%2001.jpg
http://www.wikidata.org/entity/Q3329327,musée Robert-Dubois-Corneau,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q3329330,musée Roybet-Fould,http://commons.wikimedia.org/wiki/Special:FilePath/Pavillon%20de%20la%20Su%C3%A8de%20et%20de%20la%20Norv%C3%A8ge%2C%20Courbevoie%20004.JPG
http://www.wikidata.org/entity/Q3329678,musée d'Histoire locale de Rueil-Malmaison,http://commons.wikimedia.org/wiki/Special:FilePath/Rueil-Malmaison%20Mairie.jpg
http://www.wikidata.org/entity/Q28033642,musée d'histoire urbaine et sociale de Suresnes,http://commons.wikimedia.org/wiki/Special:FilePath/2013%20MUS%20Musee%20Urbanisme%20de%20Suresnes.JPG
http://www.wikidata.org/entity/Q1667022,musée Cernuschi,http://commons.wikimedia.org/wiki/Special:FilePath/Monceau%20Cernuschi.JPG
http://www.wikidata.org/entity/Q1572452,musée Cognacq-Jay,http://commons.wikimedia.org/wiki/Special:FilePath/Jardin%20Lazare-Rachline%2C%20Paris%209%20June%202017%20001.jpg
http://www.wikidata.org/entity/Q88640485,musée de l'Ecole nationale supérieure des beaux-arts,http://commons.wikimedia.org/wiki/Special:FilePath/Cit%C3%A9%20de%20la%20musique%20%28121%29.jpg
http://www.wikidata.org/entity/Q860166,Institut du monde arabe,http://commons.wikimedia.org/wiki/Special:FilePath/Metalsi6.jpg
http://www.wikidata.org/entity/Q3330482,musée du service de santé des armées,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20du%20Service%20de%20Sant%C3%A9%20des%20Arm%C3%A9es%20%40%20Val-de-Gr%C3%A2ce%20%40%20Paris%20%2832578929882%29.jpg
http://www.wikidata.org/entity/Q2445818,musée de La Poste,http://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ade%20du%20Mus%C3%A9e%20de%20la%20Poste%20avec%20la%20derni%C3%A8re%20exposition%20%C3%80%20la%20pointe%20de%20l%E2%80%99Art%20%C3%A0%20l%27affiche.jpg
http://www.wikidata.org/entity/Q2919066,musée de Montmartre,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20de%20Montmartre%20-%20maison%20du%20Bel%20Air.jpg
http://www.wikidata.org/entity/Q726781,musée de l'Orangerie,http://commons.wikimedia.org/wiki/Special:FilePath/2011-12-Musee%20de%20lorangerie.jpg
http://www.wikidata.org/entity/Q1538826,musée des Arts et Métiers,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Arts%20et%20M%C3%A9tiers%201.JPG
http://www.wikidata.org/entity/Q1895953,musée national d'Art moderne,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Georges%20Pompidou%20from%20the%20Tour%20Montparnasse%202007.jpg
http://www.wikidata.org/entity/Q1782606,musée national Eugène-Delacroix,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Delacroix%2C%20Paris%2029%20May%202017%20001.jpg
http://www.wikidata.org/entity/Q2597719,musée de la franc-maçonnerie,http://commons.wikimedia.org/wiki/Special:FilePath/GODF%20rue%20Cadet%20Paris.JPG
