Région administrative,Département,Commune,Identifiant Muséofile,Nom officiel du musée,date de création,Adresse,Adresse_2,Code Postal,URL,Latitude,Longitude,REF_Deps,geolocalisation,Date arrêté attribution appellation
Île-de-France,Seine-et-Marne,Chelles,M0371,musée Alfred-Bonno,,Place de la République,"Place de la République, 77500",77500,www.chelles.fr/chelles-a-vivre/culture/musee-alfred-bonno/,48.87766,2.591845,7710801,"48.87766, 2.591845",2003-02-01
Île-de-France,Seine-et-Marne,Fontainebleau,M5013,musée national du Château de Fontainebleau,,Château de Fontainebleau - Place du général de Gaulle,"Château de Fontainebleau - Place du général de Gaulle, 77300",77300,www.chateaudefontainebleau.fr/,48.402815,2.696858,7718601,"48.402815, 2.696858",2002-01-06
Île-de-France,Seine-et-Marne,Meaux,M0378,musée Bossuet,,5 place Charles-de-Gaulle,"5 place Charles-de-Gaulle, 77100",77100,www.musee-bossuet.fr/,48.938016,2.87061,7728401,"48.938016, 2.87061",2003-02-01
Île-de-France,Seine-et-Marne,Meaux,M1171,musée de la Grande Guerre du pays de Meaux,,Rue Lazare Ponticelli,"Rue Lazare Ponticelli, 77100",77100,www.museedelagrandeguerre.eu/,48.955281,2.901461,7728402,"48.955281, 2.901461",2007-03-26
Île-de-France,Seine-et-Marne,Moret-sur-Loing,M0380,musée municipal de Moret-sur-Loing,,place de Samois,"place de Samois, 77250",77250,,48.373638,2.815046,7731601,"48.373638, 2.815046",2003-02-01
Île-de-France,Seine-et-Marne,Nemours,M0382,musée départemental de Préhistoire d'Île-de-France,,48 avenue Etienne Dailly,"48 avenue Etienne Dailly, 77140",77140,www.musee-prehistoire-idf.fr/fr,48.260312,2.714321,7733301,"48.260312, 2.714321",2003-02-01
Île-de-France,Val d'Oise,Argenteuil,M0432,musée d'Argenteuil,,12-14 Boulevard Léon Feix,"12-14 Boulevard Léon Feix, 95100",95100,,48.946909,2.249331,9501801,"48.946909, 2.249331",2003-02-01
Île-de-France,Val d'Oise,Guiry-en-Vexin,M0434,musée archéologique départemental du Val-d'Oise,,4 place du Château,"4 place du Château, 95450",95450,www.valdoise.fr/608-le-musee-archeologique-departemental-du-val-d-oise.htm,49.108589,1.849395,9529501,"49.108589, 1.849395",2003-02-01
Île-de-France,Val d'Oise,L'Isle-Adam,M0435,musée d'art et d'histoire Louis-Senlecq,,31 Grande rue,"31 Grande rue, 95290",95290,ville-isle-adam.fr/musee,49.112285,2.21638,9531301,"49.112285, 2.21638",2003-02-01
Île-de-France,Val d'Oise,Montmorency,M0437,musée Jean-Jacques-Rousseau,,5 rue Jean-Jacques Rousseau,"5 rue Jean-Jacques Rousseau, 95160",95160,museejjrousseau.montmorency.fr/fr,48.986892,2.320916,9542801,"48.986892, 2.320916",2003-02-01
Île-de-France,Val d'Oise,Pontoise,M0438,musée Tavet-Delacour,,4 rue Lemercier,"4 rue Lemercier, 95300",95300,www.ville-pontoise.fr/equipement/musee-tavet-delacour#overlay-context=search/node/tavet,49.050929,2.099776,9550001,"49.050929, 2.099776",2003-02-01
Île-de-France,Val-de-Marne,Villiers-sur-Marne,M0430,musée Émile Jean,,31 rue Louis-Lenoir,"31 rue Louis-Lenoir, 94350",94350,www.villiers94.fr/culture-et-sports/patrimoine/musee-emile-jean/,48.826701,2.543144,9407901,"48.826701, 2.543144",2003-02-01
Île-de-France,Yvelines,Montfort-l'Amaury,M0392,Le Belvédère,,5 rue Maurice-Ravel,"5 rue Maurice-Ravel, 78490",78490,www.montfortlamaury.fr/culture-tourisme/sites-et-monuments/la-maison-musee-de-maurice-ravel/,48.776137,1.805464,7842001,"48.776137, 1.805464",2003-02-01
Île-de-France,Yvelines,Saint-Germain-en-Laye,M0397,musée municipal de Saint-Germain-en-Laye,,38 rue au Pain,"38 rue au Pain, 78000",78000,www.saintgermainenlaye.fr/736/musee-municipal.htm?L=ppapagepapage=,48.794403,2.127681,7855102,"48.794403, 2.127681",2003-02-01
Île-de-France,Yvelines,Versailles,M5077,château de Versailles,,place Armes,"place Armes, 78000",78000,www.chateauversailles.fr/,48.804537,2.134053,7864602,"48.804537, 2.134053",2002-01-06
